#Enable, Prefab name, Biome, Biome area, Quantity, Chance, Priority, Center first, Unique, Group, Min unique dist, Icon always, Icon placed, Random rotation, Slope rotation, Snap to water, Min terrain change, Max terrain change, In forest, Min forest threshold, Max forest threshold, Min dist, Max dist, Min altitude, Max altitude
TRUE, StartTemple, Meadows,2,1,100,1,1,0, ,0,1,0,0,0,0,0,3,1,1,5,0,10000,3,1000
TRUE, Eikthyrnir, Meadows,2,3,15,1,0,0, ,0,0,0,1,0,0,0,3,0,1,5,0,1000,1,1000
TRUE, GoblinKing, Plains,2,4,15,1,0,0, ,3000,0,0,1,0,0,0,4,0,1,5,0,0,1,1000
TRUE, GDKing, BlackForest,6,4,15,1,0,0, ,3000,0,0,1,0,0,0,5,0,1,5,1000,7000,1,1000
TRUE, Bonemass, Swamp,6,5,20,1,0,0, ,3000,0,0,1,0,0,0,4,0,1,5,2000,10000,0,2
TRUE, SunkenCrypt4, Swamp,2,400,15,1,0,0, ,64,0,0,1,0,0,0,4,0,0,1,0,0,0,2
TRUE, Vendor_BlackForest, BlackForest,2,10,10,1,0,0, ,512,0,1,1,0,0,0,2,0,0,1,1500,0,1,1000
TRUE, Dragonqueen, Mountain,2,3,10,1,0,0, ,3000,0,0,1,0,0,0,4,0,0,1,0,8000,150,500
TRUE, StoneCircle, Meadows,7,25,5,0,0,0, ,200,0,0,1,0,0,0,3,0,1,5,0,0,1,1000
TRUE, Greydwarf_camp1, BlackForest,2,300,15,0,0,0, ,128,0,0,1,0,0,0,3,0,0,1,0,0,1,1000
TRUE, Runestone_Greydwarfs, BlackForest,7,25,10,0,0,0, Runestones,128,0,0,1,0,0,0,3,0,1,99,0,2000,1,1000
TRUE, Grave1, Swamp,6,200,15,0,0,0, ,0,0,0,1,0,0,0,3,0,0,1,0,0,0.5,1000
TRUE, SwampRuin1, Swamp,6,50,15,0,0,0, ,512,0,0,1,0,0,0,3,0,0,1,0,0,0,1000
TRUE, SwampRuin2, Swamp,6,50,15,0,0,0, ,512,0,0,1,0,0,0,3,0,0,1,0,0,0,1000
TRUE, FireHole, Swamp,6,200,15,0,0,0, ,0,0,0,1,0,0,0,3,0,0,1,0,0,0.5,1000
TRUE, Runestone_Draugr, Swamp,-1,50,5,0,0,0, Runestones,128,0,0,1,0,0,0,3,0,0,1,0,0,0.5,1000
TRUE, Meteorite, AshLands,7,500,10,0,0,0, ,0,0,0,1,0,0,0,4,0,1,5,0,0,1,1000
TRUE, Crypt2, BlackForest,-1,200,20,0,0,0, ,128,0,0,1,0,0,0,2,0,0,1,0,0,1,1000
TRUE, Ruin1, BlackForest,-1,200,15,0,0,0, ,0,0,0,1,0,0,0,3,0,0,1,0,0,1,1000
TRUE, Ruin2, BlackForest,-1,200,15,0,0,0, ,0,0,0,1,0,0,0,3,0,0,1,0,0,1,1000
TRUE, StoneHouse3, BlackForest,-1,200,15,0,0,0, ,0,0,0,1,0,0,0,3,0,0,1,0,0,1,1000
TRUE, StoneHouse4, BlackForest,-1,200,15,0,0,0, ,0,0,0,1,0,0,0,3,0,0,1,0,0,1,1000
TRUE, Ruin3, Plains,-1,50,15,0,0,0, Goblintower,512,0,0,1,0,0,0,3,0,0,1,0,0,1,1000
TRUE, GoblinCamp2, Plains,-1,200,10,0,0,0, ,250,0,0,1,0,0,0,3,0,0,1,0,0,2,1000
TRUE, StoneTower1, Plains,-1,50,10,0,0,0, Goblintower,512,0,0,1,0,0,0,3,0,0,1,0,0,1,1000
TRUE, StoneTower3, Plains,-1,50,10,0,0,0, Goblintower,512,0,0,1,0,0,0,3,0,0,1,0,0,1,1000
TRUE, StoneHenge1, Plains,-1,5,10,0,0,0, Stonehenge,1000,0,0,1,0,0,0,3,0,0,1,0,0,5,1000
TRUE, StoneHenge2, Plains,-1,5,10,0,0,0, Stonehenge,1000,0,0,1,0,0,0,3,0,0,1,0,0,5,1000
TRUE, StoneHenge3, Plains,-1,5,10,0,0,0, Stonehenge,1000,0,0,1,0,0,0,3,0,0,1,0,0,5,1000
TRUE, StoneHenge4, Plains,-1,5,10,0,0,0, Stonehenge,1000,0,0,1,0,0,0,3,0,0,1,0,0,5,1000
TRUE, StoneHenge5, Plains,-1,20,10,0,0,0, Stonehenge,500,0,0,1,0,0,0,3,0,0,1,0,0,2,1000
TRUE, StoneHenge6, Plains,-1,20,10,0,0,0, Stonehenge,500,0,0,1,0,0,0,3,0,0,1,0,0,2,1000
TRUE, WoodHouse1, Meadows,7,20,15,0,0,0, ,0,0,0,1,0,0,0,4,0,0,1,0,0,1,1000
TRUE, WoodHouse2, Meadows,7,20,15,0,0,0, ,0,0,0,1,0,0,0,4,0,0,1,0,0,1,1000
TRUE, WoodHouse3, Meadows,7,20,15,0,0,0, ,0,0,0,1,0,0,0,4,0,0,1,0,0,1,1000
TRUE, WoodHouse4, Meadows,7,20,15,0,0,0, ,0,0,0,1,0,0,0,4,0,0,1,0,0,1,1000
TRUE, WoodHouse5, Meadows,7,20,15,0,0,0, ,0,0,0,1,0,0,0,4,0,0,1,0,0,1,1000
TRUE, WoodHouse6, Meadows,7,20,15,0,0,0, ,0,0,0,1,0,0,0,4,0,0,1,0,0,1,1000
TRUE, WoodHouse7, Meadows,7,20,15,0,0,0, ,0,0,0,1,0,0,0,4,0,0,1,0,0,1,1000
TRUE, WoodHouse8, Meadows,7,20,15,0,0,0, ,0,0,0,1,0,0,0,4,0,0,1,0,0,1,1000
TRUE, WoodHouse9, Meadows,7,20,15,0,0,0, ,0,0,0,1,0,0,0,4,0,0,1,0,0,1,1000
TRUE, WoodHouse10, Meadows,7,20,15,0,0,0, ,0,0,0,1,0,0,0,4,0,0,1,0,0,1,1000
TRUE, WoodHouse11, Meadows,7,20,15,0,0,0, ,0,0,0,1,0,0,0,4,0,0,1,0,0,1,1000
TRUE, WoodHouse12, Meadows,7,20,15,0,0,0, ,0,0,0,1,0,0,0,4,0,0,1,0,0,1,1000
TRUE, WoodHouse13, Meadows,7,20,15,0,0,0, ,0,0,0,1,0,0,0,4,0,0,1,0,0,1,1000
TRUE, WoodFarm1, Meadows,7,10,15,0,0,0, woodvillage,128,0,0,1,0,0,0,4,0,0,1,500,2000,1,1000
TRUE, WoodVillage1, Meadows,7,15,15,0,0,0, woodvillage,256,0,0,1,0,0,0,4,0,0,1,2000,10000,1,1000
TRUE, TrollCave02, BlackForest,2,250,20,0,0,0, ,256,0,0,1,1,0,5,10,0,0,1,0,0,3,1000
TRUE, Dolmen01,9,3,100,10,0,0,0, ,0,0,0,1,0,0,0,2,0,0,1,0,0,1,1000
TRUE, Dolmen02,9,3,100,10,0,0,0, ,0,0,0,1,0,0,0,2,0,0,1,0,0,1,1000
TRUE, Dolmen03,9,3,50,10,0,0,0, ,0,0,0,1,0,0,0,2,0,0,1,0,0,1,1000
TRUE, Crypt3, BlackForest,3,200,10,0,0,0, ,128,0,0,1,0,0,0,2,0,0,1,0,0,3,1000
TRUE, Crypt4, BlackForest,3,200,10,0,0,0, ,128,0,0,1,0,0,0,2,0,0,1,0,0,1,1000
TRUE, InfestedTree01, Swamp,3,700,10,0,0,0, ,0,0,0,1,0,0,0,3,0,0,1,0,0,-1,1000
TRUE, SwampHut1, Swamp,3,50,10,0,0,0, Swamphut,128,0,0,1,0,0,0,3,0,0,1,0,0,-2,1000
TRUE, SwampHut2, Swamp,3,50,10,0,0,0, Swamphut,128,0,0,1,0,0,0,3,0,0,1,0,0,2,1000
TRUE, SwampHut3, Swamp,3,50,10,0,0,0, Swamphut,128,0,0,1,0,0,0,3,0,0,1,0,0,2,1000
TRUE, SwampHut4, Swamp,3,50,10,0,0,0, Swamphut,128,0,0,1,0,0,0,3,0,0,1,0,0,-1,1000
TRUE, SwampHut5, Swamp,3,25,10,0,0,0, Swamphut,128,0,0,1,0,0,0,3,0,0,1,0,0,-1,1000
TRUE, SwampWell1, Swamp,3,25,10,0,0,0, ,1024,0,0,1,0,0,0,3,0,0,1,0,0,-1,1000
TRUE, StoneTowerRuins04, Mountain,3,50,10,0,0,0, Mountainruin,128,0,0,1,1,0,6,40,0,0,1,0,0,150,1000
TRUE, StoneTowerRuins05, Mountain,3,50,10,0,0,0, Mountainruin,128,0,0,1,0,0,6,40,0,0,1,0,0,150,1000
TRUE, StoneTowerRuins03, BlackForest,3,80,10,0,0,0, Stonetowerruins,200,0,0,1,0,0,0,2,0,0,1,0,0,2,1000
TRUE, StoneTowerRuins07, BlackForest,3,80,10,0,0,0, Stonetowerruins,200,0,0,1,0,0,0,2,0,0,1,0,0,2,1000
TRUE, StoneTowerRuins08, BlackForest,3,80,10,0,0,0, Stonetowerruins,200,0,0,1,0,0,0,2,0,0,1,0,0,2,1000
TRUE, StoneTowerRuins09, BlackForest,3,80,10,0,0,0, Stonetowerruins,200,0,0,1,0,0,0,2,0,0,1,0,0,2,1000
TRUE, StoneTowerRuins10, BlackForest,3,80,10,0,0,0, Stonetowerruins,200,0,0,1,0,0,0,2,0,0,1,0,0,2,1000
TRUE, ShipSetting01, Meadows,3,100,10,0,0,0, ,128,0,0,1,0,0,0,3,0,0,1,0,0,1,1000
TRUE, DrakeNest01, Mountain,3,200,10,0,0,0, ,100,0,0,1,0,0,0,3,0,0,1,0,10000,100,2000
TRUE, Waymarker01, Mountain,3,50,10,0,0,0, ,0,0,0,1,0,0,0,2,0,0,1,0,0,100,1000
TRUE, Waymarker02, Mountain,3,50,10,0,0,0, ,0,0,0,1,0,0,0,2,0,0,1,0,0,100,1000
TRUE, AbandonedLogCabin02, Mountain,3,33,10,0,0,0, Abandonedcabin,128,0,0,1,0,0,0,3,0,0,1,0,0,100,1000
TRUE, AbandonedLogCabin03, Mountain,3,33,10,0,0,0, Abandonedcabin,128,0,0,1,0,0,0,3,0,0,1,0,0,100,1000
TRUE, AbandonedLogCabin04, Mountain,3,50,10,0,0,0, Abandonedcabin,128,0,0,1,0,0,0,3,0,0,1,0,0,100,1000
TRUE, MountainGrave01, Mountain,3,100,10,0,0,0, ,50,0,0,1,0,0,0,2,0,0,1,0,0,100,1000
TRUE, DrakeLorestone, Mountain,3,50,10,0,0,0, Runestones,128,0,0,1,0,0,0,3,0,0,1,0,0,100,1000
TRUE, MountainWell1, Mountain,3,25,10,0,0,0, ,256,0,0,1,0,0,0,3,0,0,1,0,0,100,1000
TRUE, ShipWreck01,282,3,25,10,0,0,0, Shipwreck,1024,0,0,1,0,0,0,10,0,0,1,0,0,-1,1
TRUE, ShipWreck02,282,3,25,10,0,0,0, Shipwreck,1024,0,0,1,0,0,0,10,0,0,1,0,0,-1,1
TRUE, ShipWreck03,282,3,25,10,0,0,0, Shipwreck,1024,0,0,1,0,0,0,10,0,0,1,0,0,-1,1
TRUE, ShipWreck04,282,3,25,10,0,0,0, Shipwreck,1024,0,0,1,0,0,0,10,0,0,1,0,0,-1,1
TRUE, Runestone_Meadows, Meadows,3,100,10,0,0,0, Runestones,128,0,0,1,0,0,0,3,0,0,1,0,0,1,1000
TRUE, Runestone_Boars, Meadows,3,50,10,0,0,0, Runestones,128,0,0,1,0,0,0,3,0,0,1,0,0,1,1000
TRUE, Runestone_Swamps, Swamp,3,100,10,0,0,0, Runestones,128,0,0,1,0,0,0,3,0,0,1,0,0,0,1000
TRUE, Runestone_Mountains, Mountain,3,100,10,0,0,0, Runestones,128,0,0,1,0,0,0,3,0,0,1,0,0,100,1000
TRUE, Runestone_BlackForest, BlackForest,3,50,10,0,0,0, Runestones,128,0,0,1,0,0,0,3,0,0,1,0,0,1,1000
TRUE, Runestone_Plains, Plains,3,100,10,0,0,0, Runestones,128,0,0,1,0,0,0,3,0,0,1,0,0,1,1000
TRUE, TarPit1, Plains,2,100,0,0,0,0, tarpit,128,0,0,1,0,0,0,1.5,0,0,0,0,0,5,60
TRUE, TarPit2, Plains,2,100,0,0,0,0, tarpit,128,0,0,1,0,0,0,1.5,0,0,0,0,0,5,60
TRUE, TarPit3, Plains,2,100,0,0,0,0, tarpit,128,0,0,1,0,0,0,1.5,0,0,0,0,0,5,60
TRUE, MountainCave02, Mountain,3,160,0,0,0,0, mountaincaves,200,0,0,0,1,0,0,40,0,0,0,0,0,100,5000
