m_prefab,localScale.x,localScale.y,localScale.z,m_biome,m_biomeArea,m_blockCheck,m_chanceToUseGroundTilt,m_enable,m_foldout,m_forcePlacement,m_forestTresholdMax,m_forestTresholdMin,m_groundOffset,m_groupRadius,m_groupSizeMax,m_groupSizeMin,m_inForest,m_min,m_max,m_minAltitude,m_maxAltitude,m_minOceanDepth,m_maxOceanDepth,m_maxTerrainDelta,m_maxTilt,m_minVegetation,m_maxVegetation,m_minTerrainDelta,m_minTilt,m_randTilt,m_scaleMax,m_scaleMin,m_snapToStaticSolid,m_snapToWater,m_terrainDeltaRadius
rock4_coast,1,1,1,873,7,FALSE,0,TRUE,FALSE,FALSE,1,0,0,20,3,3,FALSE,3,3,-2,-0.5,2,30,2,90,0,0,0,0,15,1.2,0.6,FALSE,FALSE,0
rock4_heath,1,1,1,Plains,7,TRUE,0,TRUE,FALSE,FALSE,1,0,-3,0,1,1,FALSE,4,10,4,1000,0,0,2,45,0,0,0,15,5,1,0.8,FALSE,FALSE,0
HeathRockPillar,1,1,1,Plains,7,TRUE,0,TRUE,FALSE,FALSE,1.1,0,-2,0,1,1,FALSE,0,0.1,0,1000,0,0,2,30,0,0,0,0,15,1.3,0.8,FALSE,FALSE,0
rock2_heath,1,1,1,Plains,7,TRUE,0,TRUE,FALSE,FALSE,1.1,0,0,0,1,1,FALSE,0,1,0,1000,0,0,2,20,0,0,0,0,20,1.5,1,FALSE,FALSE,0
HugeRoot1,1,1,1,Mistlands,7,TRUE,0,FALSE,FALSE,FALSE,1,0,0,0,1,1,FALSE,5,5,0,1000,0,0,2,30,0,0,0,0,15,2,1,FALSE,FALSE,0
SwampTree2_darkland,1.5,1.5,1.5,Mistlands,7,TRUE,0,FALSE,FALSE,FALSE,1,0,0,0,1,1,FALSE,10,10,1,1000,0,0,2,25,0,0,0,0,5,5,3,FALSE,FALSE,0
rock3_mountain,1,1,1,Mountain,6,TRUE,0,TRUE,FALSE,FALSE,1,0,-5,0,1,1,FALSE,0,2,-1000,1000,0,0,2,50,0,0,0,10,0,1.5,1,FALSE,FALSE,0
rock3_silver,1,1,1,Mountain,6,TRUE,0,FALSE,FALSE,FALSE,1,0,-8,0,1,1,FALSE,0,0.5,-1000,1000,0,0,2,45,0,0,0,0,0,1,1,FALSE,FALSE,0
silvervein,1,1,1,Mountain,6,TRUE,0,TRUE,FALSE,TRUE,1,0,-4,0,1,1,FALSE,1,1,120,1000,0,0,3,30,0,0,0,0,0,1,1,FALSE,FALSE,9
rock1_mountain,1,1,1,Mountain,6,TRUE,0,TRUE,FALSE,FALSE,1,0,-6,0,1,1,FALSE,5,8,-1000,1000,0,0,2,80,0,0,0,30,0,1.5,1,FALSE,FALSE,0
